review,aesthetics,cost,effectiveness,efficiency,enjoyability,general,learnability,reliability,safety,security
"Thực hiện một cuộc gọi, di chuyển một vật, đôi khi có thể kiếm được 2 sao!!",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Các cấp độ dường như trở nên thực sự khó khăn sau khi bạn bắt đầu tu sửa phòng thứ ba.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"anh trai tôi cũng thực sự thích trò chơi này, nhưng anh ấy cho rằng nó hơi thách thức ở tuổi của anh ấy.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"Rõ ràng là cách gieo xúc xắc, bạn có thể đoán trước kết quả!",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Tuy nhiên, tổng thể trò chơi cảm thấy lạnh lẽo và cô đơn.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Đã khoảng một tháng kể từ khi bạn nói rằng các cập nhật và Airship (bản đồ mới) sẽ đến với Among Us, chúng ở đâu!?",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"ngoại trừ những điều này thì đây thực sự là một trò chơi tuyệt vời, tôi chắc chắn sẽ giới thiệu.",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tôi yêu trò chơi này!,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Khi chúng tôi hỏi họ đã làm gì vào cuối tuần, Amoung us là một trò chơi phổ biến mà tất cả họ đều chơi.",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tôi đã tiêu khoảng 15 đô la cho các bộ bài khác nhau.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tôi thích trò chơi này nhưng khi tôi tiến bộ, tôi đã gặp một vấn đề lớn với các quả bom băng.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nhưng chúng tôi không thể chơi cùng nhau vì nó không hỗ trợ những nền tảng này cùng một lúc.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nó không nên được kết nối với ID Apple của bạn sao?,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tôi cũng muốn thấy phần thưởng tiền xu được cân đối hơn.,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Nếu bạn thậm chí có thể gọi nó như vậy.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tôi rất vui khi bạn đã thêm chúng trở lại với bản cập nhật nether.,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ngoài ra, mọi thứ đều như mong đợi, chỉ ước gì tôi có thể chơi với trí tuệ nhân tạo nhưng giờ đây thì không thể!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Tôi muốn thêm một con nữa, và quyết định lai giống chúng một lần nữa.",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Một ứng dụng tuyệt vời để có trên các thiết bị điện tử của bạn.,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Họ không cần phải hoàn hảo, vì bạn vẫn có thể chơi trò chơi mà không gặp vấn đề.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Rất thất vọng nhưng mình đoán mình chỉ mất một đô la thôi 🤷🏻‍♀️🤷🏻‍♀️👎🏻👎🏻👎🏻,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Trừ khi bạn sẵn lòng bỏ tiền, bạn sẽ không có những thế giới/skins vui nhộn và tương tác hơn.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tôi thích trò chơi này và sẽ tiếp tục chơi.,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"Đối với phần đầu, nó sẽ là một màn hình giống như TV, thay đổi biểu cảm khuôn mặt.",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Là một fan hâm mộ lớn của thiết kế nội thất, trò chơi này dường như hoàn hảo dành cho tôi.",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Và có thể bạn có thể thêm một số loại súng vào trò chơi.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Bạn có thể tạo ra chức năng để bạn có thể thêm người khác làm bạn bè không?,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Xin vui lòng và cảm ơn, hãy kiếm đến 5 sao chúng ta nhé!",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Không cần tạo tài khoản, không cần gì cả!",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Tuy nhiên, tôi đã không thể mở ứng dụng này kể từ khi cập nhật.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bạn bè tôi rất thích chơi trên ứng dụng, nhưng chỉ hoàn thành thành công một số ít trò chơi kể từ khi ứng dụng được phát hành.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"Cập nhật lần 2: tôi đã lấy lại được những món đồ mà tôi mua, nhưng bây giờ lại có một vấn đề khác xuất hiện.",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Và cảm nhận được cách chơi trò chơi, nhưng gần đây tôi đã chơi chế độ nhiều người chơi.",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Đầu tiên, tôi đề xuất rằng trò chơi nên có nhiều loại động vật hơn (như voi, sư tử, hổ, cá mập, v.v).",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Trò chơi này thật vui, nhẹ nhàng, thách thức và hoàn hảo trong một hoặc hai ngày đầu tôi bắt đầu chơi.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Ứng dụng này áp dụng cách tiếp cận đơn giản hơn bằng cách tạo ngẫu nhiên thẻ sau mỗi lần rút.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tôi mua một trong những đường sắt của họ với một giá cắt cổ.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Một trò chơi đã dạy chúng ta không bao giờ đặt giới hạn cho trí tưởng tượng của mình.,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Tôi muốn có thể sử dụng 100 đồng xu cho mỗi lượt di chuyển mà tôi muốn thêm.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đã xảy ra chuyện gì với việc sáng tạo?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hãy để tôi giải thích về điều cuối cùng hoặc tại sao tôi không thể nói rằng tôi yêu trò chơi này nữa.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Tôi đã trả tiền cho ứng dụng này và giờ đây với các biện pháp cách ly được áp dụng, tôi không có cơ hội gặp gỡ bạn bè của mình ngoại trừ việc giữ khoảng cách!",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Không có gì xảy ra khi tôi không đăng nhập.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Trên hết tất cả, cách chơi của trò chơi này thật sự không công bằng.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Đừng hiểu lầm, mọi người đều như vậy!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Ồ, và tôi hoàn toàn từ chối bỏ ra bất kỳ số tiền nào cho trò chơi này.",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nếu bạn giết một wither, enderdragon, và forden, chúng sẽ rơi ra một thứ gọi là Bản đồ hỏng.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Các nhà phát triển, bạn có thể giảm nó xuống một chút và để mọi người thực sự có thể vượt qua trò chơi như những trò chơi được dự định?",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Cài đặt và tất cả những thứ thông thường nên được giữ lại nhưng hãy thực hiện những cải tiến đó plz!,!,!,!",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Tuy nhiên, tôi đã nhận thấy trong bản cập nhật gần đây, RẤT NHIỀU lỗi mới và vấn đề đã xảy ra.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Giờ quay lại với niềm vui!!,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"Nó quá khó để sử dụng và tôi không thể trả lời đủ nhanh, nó quá rối rắm.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tôi cũng đã có điểm SỐ RẤT CAO, tôi đang ở mức đầu tiên của huy chương vàng và tất cả mọi thứ!",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3: Tôi không thích việc bạn chỉ nhận được 1 sao cho mỗi trò chơi.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nhiều trò chơi mà tôi đã mua trước đây giờ đã được gói gọn và tôi phải mua chúng một lần nữa!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"Tôi sẽ đợi đến khoảng tháng 11, vì họ đã nói đó là lúc nó nên được sửa chữa.",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Chắc chắn sẽ giới thiệu.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Và tôi quên, đôi khi người chơi tạo ra máy chủ và mọi người tham gia, chỉ để bị đá ra hoặc chặn bởi chủ máy chủ.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nó rất vui và có thể chơi ở bất cứ đâu trong nhiều giờ.,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Trò chơi này thực sự tuyệt vời ở rất nhiều khía cạnh.,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tôi biết rằng nó rất thực tế nhưng ứng dụng nên được cải tiến hơn một chút và sửa những điều tẻ nhạt như vậy.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nhưng, khi tôi tiến về phía lỗi nhưng lại đi sang trái hoặc phải, và tiếp tục đi... đi... đi.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Có một lỗi nơi nó bảo rằng đang đăng nhập vào tài khoản của bạn mặc dù 20 phút sau nó vẫn đang cố gắng đăng nhập.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Đôi khi tôi nhận được một quảng cáo dài 30 giây mà không thể bỏ qua.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tôi thích trò chơi này, nhưng nó có một vài vấn đề.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cũng thật tuyệt nếu thêm vào tính năng kết bạn!,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Nếu có một vai trò được gọi là ""Jester"" với mục tiêu là bị đuổi, khiến họ chiến thắng thì sao?",0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Tôi đã tải xuống Homescapes vì đã thấy quảng cáo về trò chơi này trên Words With Friends.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tôi cảm thấy bực bội vì việc cần QUÁ NHIỀU sao để dọn dẹp một phòng.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Điểm duy nhất không tốt về trò chơi này là những chiếc hover board và các nhân vật đều tốn RẤT NHIỀU đồng xu và chìa khóa.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ngoài ra, một cách để giảm bớt vấn đề này là cung cấp cho người chơi lựa chọn không sử dụng chức năng chat mới để họ có thể tự gõ những gì họ muốn.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Và có thể, bạn có thể thêm nhiều boss hơn sau này.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Tôi khá tức giận vì mất rất nhiều thời gian để tiết kiệm cho tất cả các nhân vật mà tôi đã có.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Tôi nhớ đã nghĩ rằng các nền tảng Minecraft rất nhỏ, nhưng thực ra, tôi chỉ đang ở trên một hòn đảo.",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Với 2 người chơi phá sản, tôi có ít nhất một nghìn đô la, từ 2-4 cục đất độc quyền tất cả đều có một vài ngôi nhà và khách sạn.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Không nói dối, vào những lúc như vậy thật sự rất làm mình bực bội bởi chỉ có 5 mạng và tốc độ phục hồi rất chậm.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Khi tôi phải xóa và cài đặt lại ứng dụng đi đi lại lại, thì thật sự bắt đầu làm tôi cảm thấy khó chịu.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Có, bạn có thể đuổi người khác ra khỏi máy chủ nhưng bạn cũng phải thuyết phục được ba người khác cùng làm điều đó hoặc bạn là người đã tạo ra máy chủ.",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Các máy chủ rất vui khi chơi, và thường có nhiều loại game trên các máy chủ.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Điều đó sẽ được đánh giá cao.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tôi có thể phải xóa nó để bảo vệ chiếc heo đất của mình.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Để tiếp tục một trò chơi (với 900 đồng tiền) chỉ cho một hoặc hai lượt di chuyển thì thật sự tốn kém khi xét đến việc bạn thực sự không thắng được nhiều.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Điều đó không có liên kết gì với người chơi và thậm chí không thể nhận được bằng cách sử dụng các lực lượng tăng cường.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đánh giá 2 sao của tôi là vì cộng đồng.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Chúc mừng heads up đã bán được 1 tỷ bộ bài và tôi hy vọng bạn sẽ bán được thêm 1 tỷ nữa.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tôi phải đánh giá trò chơi này mức điểm khá thấp chỉ dựa trên nguyên tắc về cách tiếp thị không trung thực của nó.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tôi vẫn nghĩ rằng trò chơi này hoàn toàn đáng yêu và được suy nghĩ kỹ lưỡng.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tôi đã thấy một đánh giá nói rằng nó trông như được một đứa trẻ vẽ ra.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Thứ hai, những hình ảnh động thật sự rất khó chịu!",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tôi mệt mỏi khi thấy bộ bài pretty little liars ví dụ mà tôi biết rằng tôi sẽ không bao giờ mua.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nhưng một vấn đề lớn đối với tôi là việc chơi trò chơi thực sự.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tôi thích among us rất nhiều!,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Điều thứ ba là có khả năng trò chuyện (khi bạn còn sống) ngoài ""Cuộc họp khẩn cấp"".",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Nghiêm túc mà nói, trò chơi trước đây đã đủ tốt để mọi lứa tuổi có thể chơi, nhưng bây giờ dường như chỉ có trẻ em 6 tuổi có thể thích thiết kế này.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nó chắc chắn có thể giúp bạn giết thời gian.,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Tôi đã mua cho anh ấy một ngày trước và đó là lãng phí thời gian và tiền bạc của tôi.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tôi thấy chúng thật vui và thậm chí còn gây nghiện.,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Họ làm hỏng trò chơi rất nhiều.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tôi đã chơi MCPE một lần trong vài phút trên máy tính bảng của một người bạn gần 6 năm trước và từ đó tôi đã mê mẩn trò chơi này.,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"Tôi vẫn muốn sáng tạo và có ""niềm vui""!",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Vấn đề duy nhất tôi gặp với trò chơi là tùy chọn bạn bè.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Tôi nhận ra rằng họ muốn bạn tiêu tiền và tôi đã tiêu, nhưng ngay cả khi bạn tiêu, nó không đem lại cho bạn nhiều lợi ích.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nhưng, tôi muốn đề nghị một tính năng.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Dù sao, tôi cũng thích cách trò chơi có thể tùy chỉnh và có bố cục tuyệt vời.",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đã phải mua ứng dụng và giờ tôi cũng phải mua từng bổ sung thêm nữa.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Và cửa hàng trong game có một số skin, thế giới miễn phí và thường có những giao dịch khá tốt.",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Trò chơi này thật tuyệt vời!,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Như nếu bạn biết người đó trong đời thực hoặc nếu bạn thích chơi với họ!,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nếu hệ thống phần thưởng hoạt động giống như trò chơi của Zynga thì chúng có thể tồn tại lâu hơn.,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gói động vật và gói diễn xuất là những gói mà chúng tôi yêu thích nhất cho đến nay.,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Đã có vô số trò chơi mà cả tôi và anh em tôi đã chơi nơi người chơi AI sống sót lâu hơn chúng tôi vì nó nhận được lượt chơi thuận lợi.,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Trò chơi thực tế rất gọn gàng.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Khi tải xuống, nó đã cho tôi thông báo 'tải xuống gia đình', và đó là lựa chọn duy nhất, tôi tất nhiên đã sử dụng nó.",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bạn đã thêm nhiều thứ vào trò chơi nhưng lại chưa khắc phục được các lỗi.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Có thể bạn có thể cài đặt một thứ gì đó có thể phát hiện chương trình của họ và những thứ khác?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"Họ không cung cấp cho tôi bất cứ thứ gì để vượt qua chướng ngại vật khó chịu và tôi đã chết. Tôi đã lãng phí tất cả các bảng, chìa khóa và lợi thế ban đầu của mình cho không!",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tôi phải đi rồi nhưng tôi khuyên bạn nên tải ứng dụng này!!!,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Vì vậy, hãy gỡ bỏ tính năng này và quay trở lại trạng thái ban đầu.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phần thưởng cho các cấp độ không hề gần với mức nó nên có, và số lượng bạn nhận được so với số tiền bạn trả cũng không đủ.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Việc hợp tác là một vấn đề LỚN trong trò chơi với cả nhóm bạn bè tiết lộ người giả mạo ngay khi trò chơi bắt đầu.,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Tôi nghĩ rằng những nhà phát triển nên thêm một số nội dung có thể mở khóa mà bạn không phải trả thêm phí.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Khi tôi bắt đầu chơi, nó rất thú vị bởi vì tôi luôn có cơ hội để chiến thắng.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"Vì vậy, để kết luận, tôi đề xuất trò chơi này

Người đánh giá của bạn,
   Jack",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Có một điều mà tôi rất muốn thấy.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Tôi không biết các bạn đã làm gì trong bản cập nhật, nhưng minecraft giờ đã hoàn toàn trở thành một trò chơi khác rồi.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Trước đây nó rất vui, nhưng giờ tôi không thể chơi nó nữa.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"!😂xin lỗi vì nó hơi dài, tạm biệt, hãy tải ứng dụng",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Các nhà phát triển hãy ngừng nói rằng chúng tôi rất tiếc khi nghe bạn cảm thấy như vậy!,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thật rùng rợn khi bạn so sánh nó với lối chơi thực sự vô tội và thân thiện với trẻ em.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tôi yêu sự đa dạng của các bộ bài và thiết kế.,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Giống như các đôi tất có độ dài khác nhau, hoặc một bông hoa ở chiếc này và một ngôi sao ở chiếc kia.",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Không chỉ tôi cách bộ định tuyến chỉ vài inch mà tôi còn là người duy nhất trong nhà.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Vui lòng sửa điều này ngay lập tức.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Ví dụ, bạn sẽ nhảy qua một rào chắn và sau đó bạn sẽ thấy một đoàn tàu chạy xuống cùng một làn đường nơi rào chắn đang để mở.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tin tôi đi: Tôi yêu trò chơi này.,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Tôi yêu trò chơi này nhưng mỗi lần chúng tôi cố chơi nó lại bị đơ.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Thật phiền phức, tôi chỉ chơi trò chơi này được một tuần và tôi đang gỡ bỏ nó.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Tôi đồng ý với Luis905.. ""ừm, một vấn đề lớn"".",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bạn có thể làm nó ít buồn chút không? ),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ở bất cứ nơi nào bạn có dịch vụ điện thoại di động.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
